Police_Station	LongitudeY	LatitudeX
HEIDELBERG(C)	-34.08899	20.95543
HEILBRON	-27.28279	27.96707
HEKPOORT	-25.8961	27.61817
HELPMEKAAR	-28.44667	30.41937
HENDERSON	-32.3144	27.33609
HENDRINA	-26.16052	29.71433
HENNENMAN	-27.97913	27.02748
HERCULES	-25.71914	28.1488
HERMANUS	-34.41859	19.23623
HERTZOGVILLE	-28.13091	25.50616
HEUNINGSPRUIT	-27.44889	27.42303
HEUNINGVLEI	-26.2937	23.17961
HIBBERDENE	-30.57774	30.57051
HIGHFLATS	-30.25922	30.19238
HILLBROW	-26.18823	28.04464
HILLCREST	-29.78427	30.76489
HILTON-KZN	-29.56531	30.29617
HIMEVILLE	-29.75237	29.51173
HLABABOMVU	-31.26654	29.36261
HLABISA	-28.14037	31.85714
HLANGANANI	-23.30664	30.29724
HLOBANE	-27.73717	31.00971
HLOGOTLOU	-25.02105	29.73837
HLUHLUWE	-28.02034	32.26855
HOBHOUSE	-29.52845	27.14284
HOEDSPRUIT	-24.35383	30.95114
HOFMEYR	-31.65593	25.80221
HOGSBACK	-32.60057	26.93696
HONDEKLIP BAY	-30.32269	17.27415
HONEYDEW	-26.0732	27.9201
HOOPDAL	-24.27923	27.49232
HOOPSTAD	-27.83669	25.90546
HOPEFIELD	-33.06525	18.34998
HOPETOWN	-29.61956	24.08728
HOUT BAY	-34.03052	18.35674
HOWICK	-29.4885	30.22997
HUHUDI	-26.96691	24.74053
HUMANSDORP	-34.02798	24.77275
HUMEWOOD	-33.97403	25.62617
IBISI	-30.40506	29.88793
IDA	-31.40925	27.55116
IKAGENG	-26.72025	27.06247
IKAMVELIHLE	-33.79741	25.60843
ILINGE	-31.97622	27.03843
IMPENDLE	-29.6006	29.86545
INANDA	-29.6968	30.93351
INCHANGA	-29.74268	30.67873
INDWE	-31.47124	27.33555
INGOGO	-27.57737	29.91188
INGWAVUMA	-27.13361	31.9975
INT AIRP KING SHAKA	-29.61844	31.10425
INTSIKENI	-30.13768	29.58809
INYIBIBA	-32.95596	27.69467
IPELEGENG	-27.19638	25.30579
ISIPINGO	-29.98666	30.92521
ITSOSENG	-26.08725	25.88043
IVORY PARK	-25.99001	28.20162
IXOPO	-30.1548	30.06021
JABULANI	-26.2482	27.8583
JACOBSDAL	-29.13018	24.77064
JAGERSFONTEIN	-29.76054	25.42291
JAMESTOWN	-31.1205	26.81023
JAN KEMPDORP	-27.91606	24.83897
JANE FURSE	-24.765	29.85281
JANSENVILLE	-32.94236	24.66876
JEFFREYS BAY	-34.0553	24.92192
JEPPE	-26.20225	28.06046
JERICHO	-25.34301	27.81452
JHB CENTRAL	-26.20676	28.0311
JOUBERTINA	-33.82652	23.85546
JOUBERTON	-26.89184	26.58773
JOZA	-33.28478	26.57081
JOZINI	-27.42715	32.06406
KAAPMUIDEN	-25.53614	31.34071
KABEGA PARK	-33.93989	25.49849
KABOKWENI	-25.34439	31.12938
KAGISANONG	-29.18293	26.23517
KAGISHO	-28.7114	24.71971
KAGISO	-26.16425	27.78162
